User_ID,Trip_Frequency,Avg_Booking_Value,Destination_Diversity,Session_Duration_Min,Search_Count
U00131,8.0,109323.0,8.0,2.57,32.0
U00132,9.0,5021.0,28.0,36.27,29.0
U00133,8.0,48944.0,15.0,49.72,37.0
U00134,7.0,99951.0,18.0,4.75,97.0
U00135,6.0,90404.0,10.0,39.9,47.0
U00136,7.0,63307.0,26.0,40.89,45.0
U00137,6.0,104405.0,29.0,,91.0
U00138,8.0,38916.0,25.0,18.92,32.0
U00139,7.0,11228.0,15.0,6.11,58.0
U00140,7.0,44726.0,24.0,39.5,12.0
U00141,5.0,48708.0,8.0,25.07,63.0
U00142,5.0,38833.0,24.0,16.43,94.0
U00143,5.0,144121.0,3.0,22.82,83.0
U00144,5.0,94585.0,3.0,5.66,54.0
U00145,5.0,138810.0,16.0,42.41,9.0
U00146,5.0,82418.0,14.0,37.35,19.0
U00147,6.0,127942.0,8.0,5.21,41.0
U00148,5.0,86360.0,18.0,19.27,17.0
U00149,,40301.0,19.0,,81.0
U00150,4.0,106825.0,21.0,,37.0
U00151,5.0,78791.0,17.0,29.84,81.0
U00152,5.0,71487.0,17.0,24.28,10.0
U00153,6.0,124015.0,18.0,46.09,93.0
U00154,2.0,146128.0,16.0,27.03,41.0
U00155,6.0,69693.0,23.0,36.4,15.0
U00156,,148086.0,9.0,32.04,72.0
U00157,6.0,62391.0,26.0,59.61,1.0
U00158,10.0,61605.0,19.0,41.81,86.0
U00159,9.0,105235.0,8.0,18.07,77.0
U00160,3.0,82120.0,16.0,46.02,79.0
U00161,3.0,143466.0,,21.63,51.0
U00162,3.0,149568.0,15.0,43.81,60.0
U00163,6.0,65530.0,2.0,47.73,23.0
U00164,7.0,28115.0,12.0,26.33,29.0
U00165,6.0,41555.0,28.0,33.12,97.0
U00166,5.0,23880.0,9.0,51.92,91.0
U00167,5.0,98860.0,23.0,27.46,72.0
U00168,11.0,120532.0,8.0,22.93,63.0
U00169,3.0,88898.0,15.0,48.65,45.0
U00170,,52807.0,28.0,16.46,28.0
U00171,6.0,137790.0,25.0,36.71,17.0
U00172,6.0,139744.0,14.0,55.66,31.0
U00173,7.0,84313.0,14.0,27.85,25.0
U00174,3.0,124574.0,22.0,29.52,67.0
U00175,8.0,147968.0,15.0,13.42,
U00176,9.0,77186.0,3.0,33.16,27.0
U00177,4.0,38152.0,21.0,54.2,47.0
U00178,11.0,84782.0,5.0,32.3,14.0
U00179,8.0,10200.0,19.0,59.93,39.0
U00180,2.0,17984.0,,15.95,71.0
U00181,5.0,149515.0,5.0,56.64,14.0
U00182,7.0,83934.0,17.0,,67.0
U00183,6.0,101533.0,23.0,34.62,34.0
U00184,5.0,85968.0,14.0,15.81,54.0
U00185,4.0,145346.0,24.0,52.13,94.0
U00186,4.0,84692.0,2.0,,20.0
U00187,5.0,19058.0,29.0,34.34,3.0
U00188,3.0,108665.0,20.0,38.93,41.0
U00189,5.0,56089.0,20.0,18.85,85.0
U00190,7.0,82742.0,17.0,43.91,91.0
U00191,10.0,126020.0,28.0,28.17,89.0
U00192,5.0,104969.0,24.0,45.09,47.0
U00193,7.0,48707.0,9.0,52.72,5.0
U00194,,25114.0,3.0,12.94,95.0
U00195,3.0,,16.0,34.87,6.0
U00196,5.0,74091.0,19.0,21.5,19.0
U00197,5.0,38725.0,10.0,21.05,88.0
U00198,1.0,33500.0,23.0,45.96,7.0
U00199,4.0,51943.0,,,8.0
U00200,6.0,12031.0,17.0,51.88,33.0
U00201,7.0,93802.0,14.0,14.49,84.0
U00202,7.0,11948.0,21.0,35.4,49.0
U00203,3.0,46838.0,13.0,24.58,83.0
U00204,,27814.0,8.0,52.13,91.0
U00205,10.0,17658.0,20.0,24.92,64.0
U00206,2.0,91196.0,21.0,45.2,
U00207,6.0,94880.0,13.0,42.29,50.0
U00208,5.0,107641.0,,7.58,23.0
U00209,9.0,,13.0,24.35,55.0
U00210,5.0,11111.0,24.0,29.67,63.0
U00211,4.0,89029.0,20.0,42.31,11.0
U00212,6.0,72085.0,11.0,59.8,69.0
U00213,6.0,50592.0,25.0,57.67,60.0
U00214,2.0,123772.0,8.0,6.27,77.0
U00215,8.0,143813.0,10.0,29.14,62.0
U00216,8.0,141072.0,1.0,12.54,9.0
U00217,9.0,34863.0,29.0,,24.0
U00218,7.0,32230.0,18.0,9.62,84.0
U00219,1.0,6595.0,,7.19,58.0
U00220,7.0,148792.0,26.0,44.67,
U00221,6.0,33987.0,6.0,23.15,33.0
U00222,6.0,119483.0,,25.34,18.0
U00223,9.0,31447.0,13.0,55.33,1.0
U00224,6.0,137645.0,9.0,22.43,24.0
U00225,,99206.0,27.0,42.12,7.0
U00226,5.0,109145.0,10.0,54.98,69.0
U00227,6.0,112701.0,11.0,37.48,78.0
U00228,2.0,,,28.76,51.0
U00229,7.0,,23.0,36.33,1.0
U00230,10.0,89518.0,6.0,21.89,97.0
U00231,9.0,74867.0,5.0,1.69,0.0
U00232,6.0,22454.0,0.0,21.7,45.0
U00233,5.0,24259.0,9.0,18.66,50.0
U00234,10.0,,8.0,22.51,30.0
U00235,1.0,74866.0,23.0,30.34,91.0
U00236,7.0,91166.0,23.0,46.33,
U00237,6.0,118366.0,19.0,50.94,96.0
U00238,5.0,22793.0,3.0,17.82,10.0
U00239,6.0,23651.0,4.0,11.57,24.0
U00240,11.0,9166.0,12.0,15.16,90.0
U00241,4.0,43974.0,7.0,,29.0
U00242,8.0,136116.0,19.0,36.4,54.0
U00243,6.0,73467.0,11.0,22.6,76.0
U00244,6.0,142380.0,28.0,39.31,94.0
U00245,6.0,48888.0,26.0,3.65,78.0
U00246,4.0,45722.0,1.0,18.07,29.0
U00247,3.0,84432.0,25.0,59.67,8.0
U00248,8.0,19504.0,23.0,55.55,66.0
U00249,7.0,,14.0,48.46,75.0
U00250,10.0,147248.0,18.0,,63.0
U00251,6.0,101905.0,20.0,57.93,75.0
U00252,5.0,23799.0,20.0,19.67,12.0
U00253,6.0,80128.0,0.0,7.27,
U00254,5.0,89853.0,15.0,28.63,29.0
U00255,5.0,66922.0,11.0,57.55,11.0
U00256,3.0,33242.0,11.0,24.37,
U00257,,111783.0,20.0,38.98,59.0
U00258,4.0,132131.0,26.0,22.41,22.0
U00259,10.0,60686.0,12.0,11.31,
U00260,3.0,120830.0,8.0,15.4,51.0
U00261,7.0,70425.0,28.0,52.38,34.0
U00262,8.0,61056.0,6.0,26.04,98.0
U00263,4.0,62180.0,,,45.0
U00264,,11522.0,3.0,5.07,87.0
U00265,7.0,29123.0,11.0,44.7,63.0
U00266,8.0,133815.0,1.0,7.47,4.0
U00267,12.0,122337.0,4.0,16.72,12.0
U00268,6.0,7542.0,6.0,25.53,51.0
U00269,8.0,49557.0,19.0,50.96,
U00270,6.0,55302.0,22.0,53.74,4.0
U00271,4.0,48520.0,5.0,27.07,24.0
U00272,11.0,19853.0,11.0,24.17,74.0
U00273,6.0,98539.0,0.0,18.6,83.0
U00274,9.0,22595.0,5.0,38.37,9.0
U00275,9.0,86364.0,21.0,53.12,71.0
U00276,5.0,132488.0,3.0,39.35,96.0
U00277,3.0,32482.0,27.0,49.89,74.0
U00278,5.0,39100.0,0.0,22.28,
U00279,4.0,85497.0,13.0,52.5,41.0
U00280,3.0,86277.0,28.0,8.58,73.0
U00281,5.0,22022.0,29.0,,
U00282,3.0,69806.0,9.0,42.97,3.0
U00283,6.0,116311.0,18.0,19.07,
U00284,3.0,77009.0,29.0,14.94,82.0
U00285,6.0,58819.0,6.0,6.64,61.0
U00286,5.0,237555.0,25.0,97.05000000000001,
U00287,5.0,138730.0,17.0,26.44,46.0
U00288,3.0,75838.0,0.0,17.82,57.0
U00289,7.0,89879.0,1.0,23.22,45.0
U00290,5.0,143858.0,11.0,31.39,22.0
U00291,6.0,93169.0,18.0,13.47,37.0
U00292,9.0,70674.0,9.0,32.6,62.0
U00293,8.0,5053.0,26.0,52.75,5.0
U00294,6.0,94920.0,11.0,31.42,54.0
U00295,2.0,133318.0,8.0,30.53,48.0
U00296,5.0,105278.0,9.0,21.07,62.0
U00297,8.0,98267.0,27.0,47.48,94.0
U00298,9.0,36666.0,7.0,22.37,20.0
U00299,5.0,55134.0,0.0,18.28,75.0
U00300,4.0,109226.0,9.0,26.34,55.0
U00301,6.0,113965.0,15.0,57.51,48.0
U00302,4.0,13543.0,13.0,6.99,31.0
U00303,,121189.0,13.0,45.19,75.0
U00304,8.0,148512.0,9.0,,47.0
U00305,6.0,135408.0,24.0,16.33,1.0
U00306,6.0,82498.0,6.0,3.35,33.0
U00307,5.0,112525.0,15.0,18.8,24.0
U00308,6.0,147152.0,7.0,47.16,49.0
U00309,10.0,133444.0,27.0,44.74,63.0
U00310,8.0,6634.0,8.0,48.53,90.0
U00311,2.0,120927.0,8.0,42.31,71.0
U00312,4.0,138648.0,11.0,30.1,56.0
U00313,5.0,82008.0,29.0,11.83,90.0
U00314,6.0,86071.0,14.0,43.76,44.0
U00315,5.0,142211.0,25.0,50.2,86.0
U00316,,16817.0,6.0,,38.0
U00317,6.0,140111.0,16.0,44.48,
U00318,5.0,81421.0,2.0,37.51,34.0
U00319,6.0,110548.0,19.0,45.97,62.0
U00320,4.0,35762.0,17.0,55.52,
U00321,8.0,93510.0,7.0,11.37,99.0
U00322,9.0,67731.0,7.0,27.51,3.0
U00323,3.0,83622.0,20.0,1.28,52.0
U00324,5.0,139991.0,3.0,,
U00325,5.0,8731.0,1.0,42.66,58.0
U00326,4.0,94012.0,7.0,34.26,76.0
U00327,3.0,113829.0,4.0,6.24,83.0
U00328,5.0,87159.0,5.0,47.07,38.0
U00329,2.0,133603.0,6.0,56.49,7.0
U00330,2.0,109631.0,,25.54,61.0
U00331,8.0,58148.0,15.0,50.93,86.0
U00332,4.0,107058.0,12.0,5.28,38.0
U00333,6.0,13144.0,12.0,48.64,53.0
U00334,8.0,100111.0,20.0,14.07,27.0
U00335,5.0,17137.0,5.0,,4.0
U00336,9.0,135031.0,1.0,23.88,53.0
U00337,4.0,128467.0,28.0,9.26,
U00338,4.0,99994.0,10.0,56.87,
U00339,9.0,136321.0,2.0,36.65,33.0
U00340,3.0,122978.0,6.0,1.9,69.0
U00341,7.0,51012.0,19.0,26.05,20.0
U00342,6.0,27367.0,3.0,42.22,67.0
U00343,2.0,9903.0,8.0,22.48,19.0
U00344,6.0,135288.0,26.0,55.31,62.0
U00345,3.0,57720.0,9.0,22.45,16.0
U00346,5.0,74864.0,4.0,22.82,25.0
U00347,8.0,9451.0,20.0,6.12,15.0
U00348,4.0,51571.0,26.0,26.45,92.0
U00349,9.0,65488.0,19.0,50.91,74.0
U00350,9.0,104135.0,16.0,56.12,33.0
U00351,7.0,81950.0,7.0,24.08,81.0
U00352,9.0,8049.0,18.0,47.81,55.0
U00353,8.0,81943.0,20.0,43.38,8.0
U00354,3.0,110546.0,27.0,46.07,61.0
U00355,6.0,45386.0,19.0,20.31,51.0
U00356,2.0,142874.0,11.0,34.22,85.0
U00357,5.0,26078.0,16.0,57.31,13.0
U00358,4.0,93322.0,0.0,55.86,92.0
U00359,8.0,139498.0,16.0,28.95,43.0
U00360,3.0,25302.0,6.0,17.75,40.0
U00361,8.0,13906.0,5.0,45.6,52.0
U00362,5.0,67672.0,20.0,56.04,35.0
U00363,7.0,13353.0,28.0,,67.0
U00364,6.0,65545.0,12.0,53.36,26.0
U00365,3.0,50835.0,3.0,28.23,78.0
U00366,6.0,123079.0,2.0,26.02,82.0
U00367,8.0,105894.0,15.0,22.14,59.0
U00368,9.0,7838.0,17.0,40.71,24.0
U00369,4.0,43266.0,7.0,53.46,38.0
U00370,5.0,128097.0,15.0,43.84,88.0
U00371,5.0,133191.0,25.0,20.27,33.0
U00372,7.0,84548.0,26.0,32.1,78.0
U00373,7.0,109943.0,1.0,55.53,86.0
U00374,7.0,114445.0,27.0,29.0,51.0
U00375,6.0,42658.0,7.0,25.63,75.0
U00376,6.0,85672.0,4.0,45.77,91.0
U00377,8.0,59100.0,22.0,54.33,97.0
U00378,12.0,134193.0,12.0,51.54,
U00379,3.0,97289.0,7.0,47.57,20.0
U00380,7.0,99175.0,19.0,38.2,4.0
U00381,6.0,125772.0,26.0,39.95,
U00382,5.0,125172.0,14.0,26.2,62.0
U00383,8.0,147582.0,27.0,14.33,23.0
U00384,4.0,107085.0,24.0,56.63,21.0
U00385,9.0,135048.0,4.0,20.85,48.0
U00386,3.0,,14.0,37.81,61.0
U00387,8.0,73790.0,20.0,37.84,63.0
U00388,9.0,31951.0,7.0,50.83,85.0
U00389,5.0,18408.0,8.0,10.83,82.0
U00390,8.0,53088.0,,43.24,48.0
U00391,13.0,51211.0,7.0,53.99,73.0
U00392,4.0,104852.0,20.0,16.81,60.0
U00393,7.0,83537.0,13.0,33.2,69.0
U00394,7.0,138606.0,26.0,26.58,84.0
U00395,1.0,139093.0,29.0,44.41,1.0
U00396,7.0,73128.0,26.0,53.21,20.0
U00397,8.0,18686.0,20.0,10.25,93.0
U00398,6.0,128897.0,25.0,8.63,
U00399,8.0,25951.0,24.0,29.49,81.0
U00400,12.0,142551.0,25.0,36.91,34.0
U00401,6.0,28210.0,22.0,5.41,8.0
U00402,6.0,10050.0,19.0,56.91,2.0
U00403,7.0,12478.0,19.0,30.74,74.0
U00404,4.0,136568.0,6.0,24.83,10.0
U00405,4.0,38338.0,10.0,21.44,12.0
U00406,8.0,72902.0,19.0,49.08,5.0
U00407,4.0,108832.0,25.0,25.05,95.0
U00408,9.0,11942.0,6.0,17.27,61.0
U00409,8.0,47333.0,13.0,18.15,18.0
U00410,5.0,34514.0,10.0,29.72,71.0
U00411,3.0,32549.0,13.0,12.74,44.0
U00412,5.0,87944.0,9.0,29.13,57.0
U00413,12.0,94632.0,8.0,23.39,48.0
U00414,7.0,118375.0,5.0,20.96,94.0
U00415,9.0,29858.0,2.0,48.07,18.0
U00416,3.0,138245.0,,31.67,77.0
U00417,5.0,138245.0,25.0,16.2,2.0
U00418,5.0,125122.0,1.0,19.01,59.0
U00419,7.0,33208.0,22.0,22.34,47.0
U00420,8.0,80213.0,9.0,39.06,1.0
U00421,6.0,9868.0,25.0,52.75,48.0
U00422,5.0,84045.0,,47.12,69.0
U00423,5.0,103336.0,8.0,7.87,18.0
U00424,4.0,91432.0,0.0,53.75,95.0
U00425,5.0,16628.0,15.0,52.14,85.0
U00426,,136114.0,3.0,,89.0
U00427,8.0,146254.0,22.0,9.18,12.0
U00428,9.0,83582.0,29.0,34.28,33.0
U00429,6.0,21208.0,27.0,32.83,56.0
U00430,3.0,21685.0,20.0,56.21,22.0
U00431,8.0,122771.0,27.0,29.29,23.0
U00432,7.0,70201.0,26.0,37.55,93.0
U00433,11.0,7949.0,,32.3,87.0
U00434,,123001.0,26.0,20.46,99.0
U00435,,93877.0,18.0,23.1,74.0
U00436,7.0,96227.0,1.0,32.25,98.0
U00437,,110070.0,15.0,46.14,7.0
U00438,6.0,144675.0,,28.0,82.0
U00439,7.0,65646.0,29.0,49.29,23.0
U00440,10.0,67492.0,0.0,35.72,10.0
U00441,3.0,88709.0,27.0,40.97,49.0
U00442,3.0,,9.0,12.23,95.0
U00443,5.0,52241.0,6.0,44.41,95.0
U00444,12.0,103487.0,24.0,36.39,72.0
U00445,4.0,82071.0,13.0,28.25,3.0
U00446,,109290.0,19.0,8.32,41.0
U00447,3.0,95754.0,12.0,20.21,93.0
U00448,6.0,141502.0,,25.3,
U00449,11.0,143458.0,7.0,46.52,31.0
U00450,5.0,96391.0,22.0,30.03,85.0
U00451,7.0,,25.0,17.09,9.0
U00452,1.0,133948.0,11.0,48.45,71.0
U00453,4.0,49013.0,27.0,29.13,29.0
U00454,7.0,81051.0,12.0,12.06,37.0
U00455,4.0,79923.0,7.0,8.5,27.0
U00456,7.0,146815.0,,9.23,73.0
U00457,,74275.0,26.0,28.89,31.0
U00458,6.0,682055.0,28.0,102.96000000000001,9.0
U00459,5.0,,2.0,26.04,13.0
U00460,10.0,11491.0,,38.94,92.0
U00461,3.0,137157.0,0.0,23.83,21.0
U00462,2.0,11211.0,2.0,37.95,65.0
U00463,5.0,34884.0,25.0,9.19,75.0
U00464,4.0,101333.0,15.0,4.7,82.0
U00465,16.0,51336.0,18.0,41.48,16.0
U00466,7.0,103625.0,1.0,57.18,46.0
U00467,14.0,125473.0,,34.19,54.0
U00468,3.0,49303.0,0.0,1.13,50.0
U00469,4.0,,11.0,30.48,9.0
U00470,10.0,133198.0,4.0,56.28,31.0
U00471,6.0,80538.0,9.0,8.99,54.0
U00472,4.0,44876.0,5.0,6.04,86.0
U00473,3.0,41162.0,10.0,4.53,63.0
U00474,7.0,26907.0,9.0,33.35,44.0
U00475,6.0,112488.0,11.0,30.02,75.0
U00476,5.0,130845.0,12.0,45.59,
U00477,,36778.0,0.0,1.33,
U00478,3.0,106343.0,22.0,4.72,77.0
U00479,4.0,51983.0,3.0,51.08,66.0
U00480,2.0,72445.0,,43.66,37.0
U00481,4.0,7842.0,,51.64,53.0
U00482,8.0,94197.0,8.0,8.97,28.0
U00483,5.0,,9.0,58.1,96.0
U00484,8.0,32760.0,13.0,2.5,
U00485,9.0,76254.0,10.0,51.46,18.0
U00486,4.0,59081.0,14.0,10.91,42.0
U00487,7.0,119256.0,2.0,15.08,42.0
U00488,6.0,114900.0,1.0,55.78,43.0
U00489,7.0,73699.0,9.0,1.7,31.0
U00490,6.0,62748.0,27.0,4.4,
U00491,8.0,102536.0,9.0,17.44,59.0
U00492,2.0,58629.0,7.0,19.2,64.0
U00493,5.0,7582.0,12.0,7.12,80.0
U00494,8.0,149036.0,7.0,47.95,5.0
U00495,7.0,69808.0,8.0,49.09,99.0
U00496,7.0,14193.0,1.0,24.98,31.0
U00497,5.0,121549.0,3.0,25.32,79.0
U00498,11.0,101028.0,5.0,9.52,20.0
U00499,6.0,61608.0,20.0,46.84,
U00500,5.0,11839.0,24.0,57.64,44.0
U00501,8.0,116985.0,20.0,5.69,51.0
U00502,5.0,,13.0,,72.0
U00503,3.0,139733.0,19.0,24.96,
U00504,,8032.0,20.0,13.09,62.0
U00505,6.0,15617.0,20.0,51.25,30.0
U00506,6.0,92595.0,,,39.0
U00507,8.0,30314.0,12.0,13.41,39.0
U00508,,28381.0,24.0,8.84,25.0
U00509,8.0,,5.0,49.75,12.0
U00510,4.0,73486.0,3.0,,33.0
U00511,3.0,50651.0,0.0,54.58,58.0
U00512,6.0,34623.0,19.0,18.61,20.0
U00513,13.0,15153.0,15.0,30.93,89.0
U00514,5.0,29943.0,13.0,30.81,82.0
U00515,9.0,93192.0,11.0,26.37,43.0
U00516,9.0,101457.0,2.0,19.63,1.0
U00517,3.0,94314.0,16.0,36.65,68.0
U00518,4.0,9754.0,13.0,30.63,5.0
U00519,9.0,79546.0,9.0,21.63,90.0
U00520,4.0,68059.0,17.0,7.42,96.0
U00521,7.0,15122.0,4.0,14.4,99.0
U00522,7.0,61883.0,23.0,55.49,72.0
U00523,6.0,14811.0,14.0,17.57,7.0
U00524,10.0,87200.0,9.0,54.63,5.0
U00525,9.0,104007.0,3.0,27.04,94.0
U00526,4.0,41941.0,18.0,57.74,74.0
U00527,4.0,52463.0,7.0,1.77,60.0
U00528,9.0,27785.0,11.0,31.89,98.0
U00529,3.0,83307.0,0.0,52.87,99.0
U00530,8.0,14983.0,23.0,5.66,36.0
U00531,4.0,130083.0,19.0,17.75,31.0
U00532,4.0,130513.0,15.0,39.82,94.0
U00533,8.0,76008.0,27.0,53.21,73.0
U00534,8.0,125795.0,28.0,10.48,99.0
U00535,2.0,115570.0,4.0,59.02,92.0
U00536,4.0,,7.0,29.25,51.0
U00537,5.0,44813.0,4.0,49.75,35.0
U00538,4.0,103775.0,11.0,51.28,32.0
U00539,4.0,91638.0,7.0,22.42,81.0
U00540,3.0,19951.0,1.0,26.91,85.0
U00541,7.0,50509.0,8.0,59.79,78.0
U00542,4.0,104141.0,26.0,9.54,17.0
U00543,10.0,78676.0,23.0,36.67,43.0
U00544,1.0,91996.0,23.0,20.6,70.0
U00545,4.0,123781.0,9.0,44.84,88.0
U00546,3.0,121620.0,5.0,50.52,36.0
U00547,5.0,90297.0,7.0,28.35,77.0
U00548,8.0,139300.0,19.0,22.76,25.0
U00549,5.0,105751.0,13.0,13.63,36.0
U00550,7.0,55907.0,1.0,6.23,87.0
U00551,9.0,49826.0,7.0,19.85,70.0
U00552,4.0,69723.0,16.0,3.47,51.0
U00553,1.0,78840.0,,23.91,25.0
U00554,12.0,72538.0,25.0,38.26,97.0
U00555,6.0,139770.0,5.0,31.37,91.0
U00556,3.0,77079.0,4.0,56.17,2.0
U00557,3.0,119756.0,16.0,8.45,43.0
U00558,,17115.0,17.0,7.74,83.0
U00559,8.0,91859.0,25.0,18.92,97.0
U00560,3.0,50909.0,19.0,14.92,75.0
U00561,3.0,88970.0,2.0,17.16,60.0
U00562,6.0,36375.0,11.0,53.41,73.0
U00563,5.0,42951.0,26.0,,90.0
U00564,8.0,27121.0,22.0,45.19,60.0
U00565,7.0,,1.0,48.03,77.0
U00566,7.0,87891.0,,16.73,33.0
U00567,6.0,68119.0,11.0,39.85,86.0
U00568,6.0,90687.0,19.0,24.0,0.0
U00569,7.0,114517.0,20.0,48.75,41.0
U00570,5.0,112102.0,28.0,33.62,
U00571,6.0,79644.0,8.0,18.33,
U00572,7.0,64775.0,24.0,49.41,87.0
U00573,4.0,119310.0,20.0,24.06,19.0
